"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"07-Jun-2021","    15725.10","    15773.45","    15678.10","    15751.65","      393970049","        25411.48"
"08-Jun-2021","    15773.90","    15778.80","    15680.00","    15740.10","      378164658","        24172.13"
"09-Jun-2021","    15766.30","    15800.45","    15566.90","    15635.35","      457855735","        26926.49"
"10-Jun-2021","    15692.10","    15751.25","    15648.50","    15737.75","      298297041","        23032.90"
"11-Jun-2021","    15796.45","    15835.55","    15749.80","    15799.35","      363011297","        24591.69"
